,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
a,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,1.0,0.4,1.1,0.1,1.8,0.7,2.3,2.4,2.9
b,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.0,1.5,1.3,0.9,2.5,0.9,2.3,0.6,0.6
c,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2,0.0,1.9,2.7,1.3,2.9,2.2,2.8
d,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2,2.2,1.7,0.8,1.1,0.5,1.1
e,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,0.5,2.3,2.0,2.4,0.2
f,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.7,2.8,0.9,2.4,1.3
g,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.6,0.6,0.4,1.6
h,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.2,1.9,1.7
i,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.9,0.1
j,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.3
k,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
l,1.0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
m,0.4,1.5,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
n,1.1,1.3,0.0,1.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
o,0.1,0.9,1.9,2.2,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
p,1.8,2.5,2.7,1.7,0.5,1.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
q,0.7,0.9,1.3,0.8,2.3,2.8,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
r,2.3,2.3,2.9,1.1,2.0,0.9,0.6,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
s,2.4,0.6,2.2,0.5,2.4,2.4,0.4,1.9,2.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
t,2.9,0.6,2.8,1.1,0.2,1.3,1.6,1.7,0.1,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
